Appliances,,Clothes Dryer,,No Power,No power,Tech II III,normal,,
Appliances,,Clothes Dryer,,Not Drying,Operating and Not drying,Tech II III,normal,x,
Appliances,,Clothes Dryer,,Not Spinning,other,Tech II III,normal,,
Appliances,,Clothes Dryer,,"Other, Please provide description","Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Damaged,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Missing Component,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Noisy,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Not Secured,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Dryer,,Dryer Vent Needs Cleaned,Preventative maintenance ,Tech II III,normal,,
Appliances,,Clothes Dryer,,Won't Close,Will not operate,Tech II III,normal,,
Appliances,,Clothes Washer,,"Other, Please provide description","Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,Damaged,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,Leaks,Leaking water- supply Line,Tech II III,emergency,x,
Appliances,,Clothes Washer,,Missing Component,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,No Water,Runs but does not fill with water,Tech II III,normal,,
Appliances,,Clothes Washer,,Noisy,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,Not Draining/Floods,Leaks Water- Drain cycle only ,Tech II III,normal,x,
Appliances,,Clothes Washer,,Not Secured,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,No Power,No power,Tech II III,normal,,
Appliances,,Clothes Washer,,Won't Close,"Other, Please provide description",Tech II III,normal,,
Appliances,,Clothes Washer,,Won't Spin,Preventative maintenance ,Tech II III,normal,,
Appliances,,Cooktops,,Broken Control Panel,Preventative maintenance ,Tech II III,normal,,
Appliances,,Cooktops,,Broken Knob,"Other, Please provide description",Tech II III,normal,,
Appliances,,Cooktops,,Burner not heating,Burner not Heating,Tech II III,high,,
Appliances,,Cooktops,,"Other, Please provide description",Damage to cook top,Tech II III,normal,x,
